province_code,province_kh,province_en,district_code,district_kh,district_en,commune_code,commune_kh,commune_en,village_code,village_kh,village_en
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020101,អូរធំ,Ou Thum
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020102,ភ្នំ,Phnum
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020103,បន្ទាយនាង,Banteay Neang
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020104,គោកព្នៅ,Kouk Pnov
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020105,ត្រាង,Trang
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020106,ពង្រ,Pongro
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020107,គោកទន្លាប់,Kouk Tonloab
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020108,ត្របែក,Trabaek
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020109,ឃីឡិក,Khilek
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020110,សំរោងពេន,Samraong Pen
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020111,ដងរុនលិច,Dang Run Lech
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020112,ដងរុនកើត,Dang Run Kaeut
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020113,អូរស្ងួត,Ou Snguot
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020114,ព្រៃចង្ហាលិច,Prey Changha Lech
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020115,ព្រៃចង្ហាកើត,Prey Changha Kaeut
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020116,អូរអណ្ដូងលិច,Ou Andoung Lech
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020117,អូរអណ្ដូងកណ្ដាល,Ou Andoung Kandal
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020118,អូរអណ្ដូងកើត,Ou Andoung Kaeut
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010201,បន្ទាយនាង,Banteay Neang,01020119,គោកក្ដួច,Kouk Kduoch
01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mangkul Bourei,010202,បត់ត្រង់,Bat Trang,01020201,ខ្ទុម្ពរាយលិច,Khtum Reay Lech
